rumbo,rumbo_deg,distancia_km,lat,lon,profundidad_m
N,0,1,9.39898,-76.18,7.0
N,0,2,9.40797,-76.18,-21.0
N,0,3,9.41695,-76.18,-26.0
N,0,4,9.42593,-76.18,-24.0
N,0,5,9.43492,-76.18,-24.0
N,0,6,9.4439,-76.18,-29.0
N,0,7,9.45288,-76.18,-31.0
N,0,8,9.46186,-76.18,-35.0
N,0,9,9.47085,-76.18,-39.0
N,0,10,9.47983,-76.18,-42.0
N,0,11,9.48881,-76.18,-44.0
N,0,12,9.4978,-76.18,-47.0
N,0,13,9.50678,-76.18,-50.0
N,0,14,9.51576,-76.18,-53.0
N,0,15,9.52475,-76.18,-57.0
N,0,16,9.53373,-76.18,-59.0
N,0,17,9.54271,-76.18,-60.0
N,0,18,9.5517,-76.18,-61.0
N,0,19,9.56068,-76.18,-62.0
N,0,20,9.56966,-76.18,-64.0
N,0,21,9.57865,-76.18,-67.0
N,0,22,9.58763,-76.18,-71.0
N,0,23,9.59661,-76.18,-73.0
N,0,24,9.60559,-76.18,-75.0
N,0,25,9.61458,-76.18,-78.0
NNE,22.5,1,9.3983,-76.17652,6.0
NNE,22.5,2,9.4066,-76.17303,-24.0
NNE,22.5,3,9.4149,-76.16955,-30.0
NNE,22.5,4,9.4232,-76.16606,-24.0
NNE,22.5,5,9.4315,-76.16258,-23.0
NNE,22.5,6,9.4398,-76.15909,-27.0
NNE,22.5,7,9.4481,-76.15561,-27.0
NNE,22.5,8,9.45639,-76.15212,-27.0
NNE,22.5,9,9.46469,-76.14864,-28.0
NNE,22.5,10,9.47299,-76.14516,-31.0
NNE,22.5,11,9.48129,-76.14167,-34.0
NNE,22.5,12,9.48959,-76.13819,-35.0
NNE,22.5,13,9.49789,-76.1347,-37.0
NNE,22.5,14,9.50619,-76.13122,-39.0
NNE,22.5,15,9.51449,-76.12773,-41.0
NNE,22.5,16,9.52279,-76.12425,-42.0
NNE,22.5,17,9.53109,-76.12077,-42.0
NNE,22.5,18,9.53939,-76.11728,-43.0
NNE,22.5,19,9.54769,-76.1138,-46.0
NNE,22.5,20,9.55599,-76.11031,-48.0
NNE,22.5,21,9.56429,-76.10683,-49.0
