"fechaobservacion","valorobservado","nombreestacion","codigoestacion","latitud","longitud","unidadmedida"
"2012-10-02T11:00:00.000","2.106","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T12:00:00.000","2.145","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T13:00:00.000","2.165","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T14:00:00.000","2.165","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T15:00:00.000","2.16","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T16:00:00.000","2.144","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T17:00:00.000","2.107","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T18:00:00.000","2.062","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T19:00:00.000","2.013","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T20:00:00.000","1.981","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T21:00:00.000","1.962","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T22:00:00.000","1.959","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-02T23:00:00.000","1.975","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T00:00:00.000","1.991","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T01:00:00.000","1.995","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T02:00:00.000","2","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T03:00:00.000","2.002","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T04:00:00.000","2.005","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T05:00:00.000","2.009","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T06:00:00.000","2.022","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T07:00:00.000","2.029","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T08:00:00.000","2.048","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T09:00:00.000","2.077","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T10:00:00.000","2.099","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-03T11:00:00.000","2.136","TESORO INVEMAR","0014017001","10.235","-75.741","m"
