fecha_hora_utc,hs_m,te_s,tp_s,direccion_deg
2015-01-01T00:00,2.32,7.25,8.95,70
2015-01-01T01:00,2.34,7.2,9.0,70
2015-01-01T02:00,2.4,7.2,9.0,70
2015-01-01T03:00,2.44,7.2,9.0,69
2015-01-01T04:00,2.48,7.2,9.05,69
2015-01-01T05:00,2.5,7.25,9.05,70
2015-01-01T06:00,2.52,7.25,9.05,70
2015-01-01T07:00,2.54,7.3,9.05,69
2015-01-01T08:00,2.56,7.3,9.05,69
2015-01-01T09:00,2.58,7.3,9.05,69
2015-01-01T10:00,2.62,7.4,9.15,69
2015-01-01T11:00,2.6,7.4,9.15,69
2015-01-01T12:00,2.6,7.4,9.15,69
2015-01-01T13:00,2.58,7.4,9.15,69
2015-01-01T14:00,2.56,7.45,9.15,70
2015-01-01T15:00,2.52,7.45,9.15,70
2015-01-01T16:00,2.5,7.45,9.15,71
2015-01-01T17:00,2.48,7.45,9.15,71
2015-01-01T18:00,2.46,7.45,9.15,72
2015-01-01T19:00,2.42,7.45,9.15,72
2015-01-01T20:00,2.4,7.45,9.15,73
2015-01-01T21:00,2.38,7.45,9.15,73
2015-01-01T22:00,2.38,7.45,9.15,73
2015-01-01T23:00,2.38,7.4,9.15,72
2015-01-02T00:00,2.4,7.4,9.15,72
2015-01-02T01:00,2.44,7.35,9.15,71
2015-01-02T02:00,2.48,7.3,9.15,71
2015-01-02T03:00,2.5,7.3,9.15,71
2015-01-02T04:00,2.52,7.3,9.15,71
2015-01-02T05:00,2.54,7.35,9.15,71
2015-01-02T06:00,2.56,7.35,9.15,71
2015-01-02T07:00,2.58,7.35,9.1,71
2015-01-02T08:00,2.62,7.35,9.1,71
2015-01-02T09:00,2.64,7.35,9.1,71
2015-01-02T10:00,2.62,7.45,9.1,72
2015-01-02T11:00,2.66,7.45,9.1,72
2015-01-02T12:00,2.9,7.75,9.35,72
2015-01-02T13:00,2.92,7.8,9.35,73
2015-01-02T14:00,2.96,7.85,9.4,73
2015-01-02T15:00,2.98,7.9,9.45,74
2015-01-02T16:00,3.02,7.95,9.55,74
2015-01-02T17:00,3.06,8.0,9.65,75
2015-01-02T18:00,3.1,8.05,9.7,75
2015-01-02T19:00,3.12,8.15,9.8,76
2015-01-02T20:00,3.14,8.2,9.85,76
2015-01-02T21:00,3.14,8.25,9.85,77
2015-01-02T22:00,3.14,8.3,9.9,77
2015-01-02T23:00,3.14,8.3,9.95,76
2015-01-03T00:00,3.28,8.45,10.05,76
2015-01-03T01:00,3.28,8.4,10.0,76
2015-01-03T02:00,3.3,8.4,10.0,76
2015-01-03T03:00,3.32,8.4,10.0,76
2015-01-03T04:00,3.34,8.4,10.0,76
2015-01-03T05:00,3.34,8.4,10.05,76
2015-01-03T06:00,3.36,8.45,10.05,76
2015-01-03T07:00,3.38,8.45,10.05,76
2015-01-03T08:00,3.4,8.45,10.05,76
2015-01-03T09:00,3.46,8.45,10.05,76
2015-01-03T10:00,3.64,8.7,10.2,76
2015-01-03T11:00,3.62,8.75,10.15,76
2015-01-03T12:00,3.64,8.75,10.2,76
2015-01-03T13:00,3.66,8.75,10.2,77
2015-01-03T14:00,3.72,8.8,10.2,77
2015-01-03T15:00,3.76,8.8,10.25,78
2015-01-03T16:00,3.8,8.9,10.3,78
2015-01-03T17:00,3.84,8.95,10.35,79
2015-01-03T18:00,3.86,9.0,10.4,79
2015-01-03T19:00,3.9,9.05,10.45,79
2015-01-03T20:00,3.92,9.05,10.5,79
2015-01-03T21:00,3.92,9.05,10.55,79
2015-01-03T22:00,3.86,9.1,10.6,79
2015-01-03T23:00,3.8,9.1,10.6,79
2015-01-04T00:00,3.74,9.1,10.6,79
2015-01-04T01:00,3.7,9.05,10.55,78
2015-01-04T02:00,3.68,8.95,10.5,78
2015-01-04T03:00,3.66,8.85,10.45,78
2015-01-04T04:00,3.66,8.75,10.4,77
2015-01-04T05:00,3.64,8.7,10.35,77
2015-01-04T06:00,3.64,8.65,10.3,76
2015-01-04T07:00,3.64,8.6,10.25,76
2015-01-04T08:00,3.64,8.55,10.2,76
2015-01-04T09:00,3.64,8.55,10.15,75
2015-01-04T10:00,3.56,8.65,10.2,75
2015-01-04T11:00,3.52,8.7,10.2,75
2015-01-04T12:00,3.48,8.7,10.2,75
2015-01-04T13:00,3.44,8.7,10.2,75
2015-01-04T14:00,3.42,8.7,10.2,75
2015-01-04T15:00,3.4,8.7,10.2,75
2015-01-04T16:00,3.38,8.65,10.2,75
2015-01-04T17:00,3.38,8.6,10.2,75
2015-01-04T18:00,3.36,8.6,10.2,75
2015-01-04T19:00,3.34,8.55,10.15,75
2015-01-04T20:00,3.32,8.55,10.15,75
2015-01-04T21:00,3.28,8.55,10.15,75
2015-01-04T22:00,3.34,8.6,10.2,75
2015-01-04T23:00,3.48,8.75,10.3,75
2015-01-05T00:00,3.46,8.75,10.25,75
2015-01-05T01:00,3.44,8.75,10.25,75
2015-01-05T02:00,3.42,8.75,10.25,75
2015-01-05T03:00,3.42,8.7,10.25,75
2015-01-05T04:00,3.42,8.7,10.25,75
2015-01-05T05:00,3.42,8.65,10.25,75
2015-01-05T06:00,3.4,8.65,10.25,74
2015-01-05T07:00,3.36,8.65,10.25,74
2015-01-05T08:00,3.36,8.6,10.25,73
2015-01-05T09:00,3.36,8.5,10.25,72
2015-01-05T10:00,3.42,8.65,10.3,72
2015-01-05T11:00,3.36,8.65,10.25,71
2015-01-05T12:00,3.36,8.65,10.25,71
2015-01-05T13:00,3.34,8.6,10.25,71
2015-01-05T14:00,3.34,8.6,10.2,70
2015-01-05T15:00,3.34,8.55,10.2,70
2015-01-05T16:00,3.34,8.5,10.2,69
2015-01-05T17:00,3.32,8.5,10.2,69
2015-01-05T18:00,3.32,8.5,10.2,69
2015-01-05T19:00,3.3,8.55,10.2,70
2015-01-05T20:00,3.28,8.55,10.2,70
2015-01-05T21:00,3.26,8.55,10.2,70
2015-01-05T22:00,3.26,8.55,10.2,70
2015-01-05T23:00,3.24,8.55,10.2,71
2015-01-06T00:00,3.48,8.8,10.45,71
2015-01-06T01:00,3.46,8.7,10.3,71
2015-01-06T02:00,3.46,8.65,10.25,71
2015-01-06T03:00,3.46,8.6,10.2,71
2015-01-06T04:00,3.44,8.55,10.2,70
2015-01-06T05:00,3.44,8.5,10.15,70
2015-01-06T06:00,3.42,8.45,10.15,70
2015-01-06T07:00,3.4,8.4,10.1,70
2015-01-06T08:00,3.38,8.4,10.05,70
2015-01-06T09:00,3.36,8.35,10.05,69
