fecha_hora_utc,hs_m,te_s,tp_s,direccion_deg
2015-01-01T00:00,0.74,8.45,13.15,284
2015-01-01T01:00,0.72,8.4,13.1,284
2015-01-01T02:00,0.72,8.35,13.05,284
2015-01-01T03:00,0.72,8.3,12.95,284
2015-01-01T04:00,0.7,8.25,12.9,284
2015-01-01T05:00,0.7,8.25,12.8,284
2015-01-01T06:00,0.7,8.25,12.7,284
2015-01-01T07:00,0.7,8.25,12.6,284
2015-01-01T08:00,0.68,8.2,12.55,284
2015-01-01T09:00,0.68,8.2,12.5,283
2015-01-01T10:00,0.76,8.55,13.2,283
2015-01-01T11:00,0.76,8.55,13.2,284
2015-01-01T12:00,0.74,8.55,13.2,285
2015-01-01T13:00,0.74,8.5,13.15,286
2015-01-01T14:00,0.74,8.5,13.05,286
2015-01-01T15:00,0.74,8.45,12.95,287
2015-01-01T16:00,0.72,8.4,12.9,288
2015-01-01T17:00,0.72,8.3,12.8,289
2015-01-01T18:00,0.72,8.2,12.7,290
2015-01-01T19:00,0.74,8.1,12.65,290
2015-01-01T20:00,0.74,8.0,12.6,290
2015-01-01T21:00,0.74,7.9,12.55,291
2015-01-01T22:00,0.76,7.65,12.5,290
2015-01-01T23:00,0.78,7.55,12.65,290
2015-01-02T00:00,0.8,7.4,12.6,290
2015-01-02T01:00,0.8,7.3,12.55,290
2015-01-02T02:00,0.8,7.15,12.5,289
2015-01-02T03:00,0.82,7.05,12.45,289
2015-01-02T04:00,0.82,7.05,12.4,289
2015-01-02T05:00,0.82,7.0,12.4,289
2015-01-02T06:00,0.82,6.95,12.35,290
2015-01-02T07:00,0.82,6.95,12.3,290
2015-01-02T08:00,0.82,6.9,12.3,290
2015-01-02T09:00,0.82,6.85,12.25,289
2015-01-02T10:00,0.82,6.9,12.25,290
2015-01-02T11:00,0.84,6.85,12.2,290
2015-01-02T12:00,0.84,6.8,12.2,290
2015-01-02T13:00,0.84,6.75,12.15,290
2015-01-02T14:00,0.84,6.75,12.15,290
2015-01-02T15:00,0.84,6.75,12.1,291
2015-01-02T16:00,0.86,6.75,12.1,292
2015-01-02T17:00,0.86,6.65,12.05,292
2015-01-02T18:00,0.88,6.45,6.1,290
2015-01-02T19:00,0.92,6.2,6.15,287
2015-01-02T20:00,0.96,5.95,6.15,284
2015-01-02T21:00,1.02,5.75,6.2,281
2015-01-02T22:00,1.06,5.6,6.2,277
2015-01-02T23:00,1.1,5.55,4.4,275
2015-01-03T00:00,1.3,6.0,4.95,274
2015-01-03T01:00,1.3,6.1,5.2,276
2015-01-03T02:00,1.28,6.25,5.35,279
2015-01-03T03:00,1.26,6.35,6.75,283
2015-01-03T04:00,1.26,6.4,6.85,287
2015-01-03T05:00,1.24,6.45,6.95,290
2015-01-03T06:00,1.24,6.45,7.0,292
2015-01-03T07:00,1.22,6.45,7.05,295
2015-01-03T08:00,1.2,6.45,7.05,297
2015-01-03T09:00,1.18,6.45,7.05,299
2015-01-03T10:00,1.18,6.55,7.1,300
2015-01-03T11:00,1.16,6.5,7.05,300
2015-01-03T12:00,1.14,6.5,7.05,301
2015-01-03T13:00,1.12,6.45,7.0,301
2015-01-03T14:00,1.1,6.45,6.95,301
2015-01-03T15:00,1.06,6.45,6.9,302
2015-01-03T16:00,1.04,6.45,6.9,301
2015-01-03T17:00,1.02,6.4,6.85,300
2015-01-03T18:00,1.02,6.3,6.8,298
2015-01-03T19:00,1.02,6.15,6.75,295
2015-01-03T20:00,1.02,6.0,6.65,291
2015-01-03T21:00,1.02,5.85,6.55,288
2015-01-03T22:00,1.02,5.75,6.4,285
2015-01-03T23:00,1.0,5.75,6.3,284
2015-01-04T00:00,0.98,5.8,6.2,283
2015-01-04T01:00,0.96,5.85,6.15,283
2015-01-04T02:00,0.94,5.95,6.1,284
2015-01-04T03:00,0.9,6.05,6.05,285
2015-01-04T04:00,0.88,6.1,6.0,286
2015-01-04T05:00,0.88,6.2,5.95,288
2015-01-04T06:00,0.86,6.25,5.9,289
2015-01-04T07:00,0.84,6.25,5.9,289
2015-01-04T08:00,0.84,6.3,5.85,290
2015-01-04T09:00,0.82,6.3,5.85,290
2015-01-04T10:00,0.82,6.35,5.85,291
2015-01-04T11:00,0.82,6.35,5.85,291
2015-01-04T12:00,0.82,6.35,5.85,290
2015-01-04T13:00,0.82,6.3,5.85,288
2015-01-04T14:00,0.84,6.25,5.85,285
2015-01-04T15:00,0.86,6.1,5.85,281
2015-01-04T16:00,0.88,6.0,5.8,277
2015-01-04T17:00,0.9,5.85,5.8,273
2015-01-04T18:00,0.92,5.8,5.75,270
2015-01-04T19:00,0.94,5.75,5.65,267
2015-01-04T20:00,0.94,5.75,5.55,265
2015-01-04T21:00,0.94,5.75,4.9,264
2015-01-04T22:00,0.96,5.75,5.05,261
2015-01-04T23:00,1.14,6.25,5.65,259
2015-01-05T00:00,1.12,6.3,5.75,259
2015-01-05T01:00,1.1,6.4,5.8,260
2015-01-05T02:00,1.06,6.45,5.85,260
2015-01-05T03:00,1.04,6.5,5.85,261
2015-01-05T04:00,1.02,6.55,5.9,263
2015-01-05T05:00,1.0,6.55,5.95,264
2015-01-05T06:00,0.98,6.55,6.0,265
2015-01-05T07:00,0.98,6.5,6.0,266
2015-01-05T08:00,0.98,6.4,6.05,267
2015-01-05T09:00,0.98,6.25,6.05,267
2015-01-05T10:00,0.98,6.25,6.05,267
2015-01-05T11:00,0.96,6.3,6.1,269
2015-01-05T12:00,0.94,6.3,6.1,270
2015-01-05T13:00,0.92,6.4,6.1,271
2015-01-05T14:00,0.9,6.45,6.1,273
2015-01-05T15:00,0.88,6.5,6.1,275
2015-01-05T16:00,0.86,6.55,6.1,276
2015-01-05T17:00,0.84,6.6,6.1,277
2015-01-05T18:00,0.82,6.55,6.05,279
2015-01-05T19:00,0.84,6.4,6.05,280
2015-01-05T20:00,0.84,6.25,6.0,282
2015-01-05T21:00,0.84,6.2,5.9,284
2015-01-05T22:00,0.84,6.2,5.85,285
2015-01-05T23:00,0.84,6.2,5.8,287
2015-01-06T00:00,0.86,6.4,5.85,289
2015-01-06T01:00,0.86,6.5,5.85,292
2015-01-06T02:00,0.86,6.55,5.9,295
2015-01-06T03:00,0.86,6.65,6.0,299
2015-01-06T04:00,0.86,6.7,6.05,303
2015-01-06T05:00,0.86,6.8,6.15,306
