"car_t1669_id_mercado","anio_corregido","mes_corregido","nt_prop","gm","tm","prnm","dnm","cvm","rm","cuvm","id_empresa","empresa","car_carg_ano","car_carg_periodo","carg_horar","fech_public"
"561","9999","99","2","279.9853","48.5314","24.4639","161.4507","26.4903","36.337","577.2586","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"561","9999","99","3","279.9853","52.7499","21.3602","98.8405","26.4903","36.337","515.7632","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"561","9999","99","3","279.9853","48.5198","21.2111","98.8405","26.4903","36.337","511.384","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"561","9999","99","3","279.9853","42.2462","20.9899","98.8405","26.4903","36.337","504.8892","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"561","9999","99","3","279.9853","48.5314","21.2115","98.8405","26.4903","36.337","511.396","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"561","9999","99","4","279.9853","52.7499","9.2856","36.8917","26.4903","36.337","441.7398","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"561","9999","99","4","279.9853","48.5198","9.2856","36.8917","26.4903","36.337","437.5097","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"561","9999","99","4","279.9853","42.2462","9.2856","36.8917","26.4903","36.337","431.2361","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"561","9999","99","4","279.9853","48.5314","9.2856","36.8917","26.4903","36.337","437.5213","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"601","9999","99","1-0","284.2245","52.7499","52.3372","143.0019","26.4902","36.337","595.1407","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"601","9999","99","1-0","284.2245","48.5198","51.9022","143.0019","26.4902","36.337","590.4756","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"601","9999","99","1-0","284.2245","42.2462","51.2571","143.0019","26.4902","36.337","583.5569","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"601","9999","99","1-0","284.2245","48.5314","51.9034","143.0019","26.4902","36.337","590.4884","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"601","9999","99","1-100","284.2245","52.7499","52.3372","285.1431","26.4902","36.337","737.2819","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"601","9999","99","1-100","284.2245","48.5198","51.9022","285.1431","26.4902","36.337","732.6168","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"601","9999","99","1-100","284.2245","42.2462","51.2571","285.1431","26.4902","36.337","725.6981","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"601","9999","99","1-100","284.2245","48.5314","51.9034","285.1431","26.4902","36.337","732.6296","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"601","9999","99","1-50","284.2245","52.7499","52.3372","214.0725","26.4902","36.337","666.2113","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"601","9999","99","1-50","284.2245","48.5198","51.9022","214.0725","26.4902","36.337","661.5462","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"601","9999","99","1-50","284.2245","42.2462","51.2571","214.0725","26.4902","36.337","654.6275","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"601","9999","99","1-50","284.2245","48.5314","51.9034","214.0725","26.4902","36.337","661.559","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"601","9999","99","2","284.2245","52.7499","26.5224","192.0809","26.4902","36.337","618.4049","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"601","9999","99","2","284.2245","48.5198","26.4018","192.0809","26.4902","36.337","614.0542","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"601","9999","99","2","284.2245","42.2462","26.223","192.0809","26.4902","36.337","607.6018","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"601","9999","99","2","284.2245","48.5314","26.4022","192.0809","26.4902","36.337","614.0662","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"601","9999","99","3","284.2245","52.7499","24.04","46.7141","26.4902","36.337","470.5557","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"159","2023","4","1-100","302.45433","53.52103","47.69588","263.17768","162.52537","50.08093","879.45522","599","EMPRESA DE ENERGIA DE ARAUCA","2023","4","4","1900-01-01T00:00:00.000"
"159","2023","4","1-50","302.45433","53.52103","47.69588","208.6637","162.52537","50.08093","824.94124","599","EMPRESA DE ENERGIA DE ARAUCA","2023","4","4","1900-01-01T00:00:00.000"
"159","2023","4","1-0","302.45433","53.52103","47.69588","154.14972","162.52537","50.08093","770.42726","599","EMPRESA DE ENERGIA DE ARAUCA","2023","4","4","1900-01-01T00:00:00.000"
"159","2023","4","2","302.45433","53.52103","17.22107","164.00006","162.52537","50.08093","749.80279","599","EMPRESA DE ENERGIA DE ARAUCA","2023","4","4","1900-01-01T00:00:00.000"
"159","2023","4","3","302.45433","53.52103","10.40854","109.80782","162.52537","50.08093","688.79802","599","EMPRESA DE ENERGIA DE ARAUCA","2023","4","4","1900-01-01T00:00:00.000"
"160","9999","99","1-0","270.9916","48.5314","61.6639","221.9375","40.6803","33.6084","677.4131","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"160","9999","99","2","270.9916","48.5314","23.5358","189.5702","40.6803","33.6084","606.9177","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"160","9999","99","3","270.9916","48.5314","18.3102","86.8113","40.6803","33.6084","498.9332","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"303","9999","99","1-100","268.5394","48.5314","46.1859","300.5938","64.3759","33.6084","761.8348","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"303","9999","99","1-0","268.5394","48.5314","46.1859","253.7116","64.3759","33.6084","714.9526","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"303","9999","99","2","268.5394","48.5314","10.912","189.5702","64.3759","33.6084","615.5373","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"303","9999","99","3","268.5394","48.5314","4.5499","86.8113","64.3759","33.6084","506.4163","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"176","9999","99","1-100","271.0606","48.5314","55.5614","253.4009","33.507","33.6084","695.6697","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"176","9999","99","1-0","271.0606","48.5314","55.5614","215.3064","33.507","33.6084","657.5752","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"176","9999","99","2","271.0606","48.5314","19.4904","160.3067","33.507","33.6084","566.5045","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"176","9999","99","3","271.0606","48.5314","19.0524","110.9626","33.507","33.6084","516.7224","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","1-100","279.0013","48.5314","66.8036","300.5938","34.0612","33.6084","762.5997","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","1-0","279.0013","48.5314","66.8036","252.9342","34.0612","33.6084","714.9401","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","2","279.0013","48.5314","21.7089","189.5702","34.0612","33.6084","606.4814","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"161","9999","99","3","279.0013","48.5314","22.5367","86.8113","34.0612","33.6084","504.5503","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"443","9999","99","1-100","275.528","48.5314","136.7515","225.1965","34.0023","33.6084","753.6181","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"443","9999","99","1-0","275.528","48.5314","136.7515","187.6667","34.0023","33.6084","716.0883","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"443","9999","99","2","275.528","48.5314","40.0068","136.659","34.0023","33.6084","568.3359","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"443","9999","99","3","275.528","48.5314","28.3511","105.5478","34.0023","33.6084","525.569","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"175","9999","99","1-100","278.4302","48.5314","55.7446","285.1431","32.8833","33.6084","734.341","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"175","9999","99","1-0","278.4302","48.5314","55.7446","257.8258","32.8833","33.6084","707.0237","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"175","9999","99","2","278.4302","48.5314","27.2734","192.0809","32.8833","33.6084","612.8076","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"175","9999","99","3","278.4302","48.5314","23.1362","46.7141","32.8833","33.6084","463.3036","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"164","9999","99","1-100","273.4769","48.5314","54.5401","300.5938","34.0262","33.6084","744.7768","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"164","9999","99","1-0","273.4769","48.5314","54.5401","272.7357","34.0262","33.6084","716.9187","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"164","9999","99","2","273.4769","48.5314","24.1864","189.5702","34.0262","33.6084","603.3995","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"164","9999","99","3","273.4769","48.5314","18.8625","86.8113","34.0262","33.6084","495.3167","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"160","9999","99","1-100","270.9916","48.5314","61.6639","300.5938","40.6803","33.6084","756.0694","1737","RUITOQUE S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"443","9999","99","1-100","306.78647","51.97324","164.47154","229.67379","22.01393","21.01438","795.93335","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"443","9999","99","1-50","306.78647","51.97324","164.47154","210.1806","22.01393","21.01438","776.44016","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"443","9999","99","1-0","306.78647","51.97324","164.47154","190.68741","22.01393","21.01438","756.94697","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"443","9999","99","2","306.78647","51.97324","48.23579","138.74267","22.01393","21.01438","588.76648","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"443","9999","99","3","306.78647","51.97324","32.71015","107.12899","22.01393","21.01438","541.62716","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"444","9999","99","1-100","306.78647","51.97324","197.53877","185.82732","22.0438","21.01438","785.18398","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"444","9999","99","1-50","306.78647","51.97324","197.53877","169.91044","22.0438","21.01438","769.2671","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"444","9999","99","1-0","306.78647","51.97324","197.53877","153.99357","22.0438","21.01438","753.35023","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"444","9999","99","2","306.78647","51.97324","67.27169","109.39654","22.0438","21.01438","578.48612","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"444","9999","99","3","306.78647","51.97324","43.12798","77.4722","22.0438","21.01438","522.41807","54406","Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P","2023","1","4","1900-01-01T00:00:00.000"
"170","9999","99","1-50","281.853","52.7499","63.523","228.5602","28.2998","36.337","691.3229","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"170","9999","99","1-50","281.853","48.5198","62.8997","228.5602","28.2998","36.337","686.4695","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"170","9999","99","1-50","281.853","42.2462","61.9753","228.5602","28.2998","36.337","679.2715","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"170","9999","99","1-50","281.853","48.5314","62.9014","228.5602","28.2998","36.337","686.4828","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"170","9999","99","2","281.853","52.7499","26.8559","160.3067","28.2998","36.337","586.4023","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"170","9999","99","2","281.853","48.5198","26.682","160.3067","28.2998","36.337","581.9983","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"170","9999","99","2","281.853","42.2462","26.4241","160.3067","28.2998","36.337","575.4668","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"170","9999","99","2","281.853","48.5314","26.6825","160.3067","28.2998","36.337","582.0104","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"170","9999","99","3","281.853","52.7499","21.3694","110.9626","28.2998","36.337","531.5717","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"170","9999","99","3","281.853","48.5198","21.2629","110.9626","28.2998","36.337","527.2351","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"170","9999","99","3","281.853","42.2462","21.1049","110.9626","28.2998","36.337","520.8035","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"170","9999","99","3","281.853","48.5314","21.2631","110.9626","28.2998","36.337","527.2469","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"170","9999","99","4","281.853","52.7499","12.6978","36.8917","28.2998","36.337","448.8292","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"170","9999","99","4","281.853","48.5198","12.6978","36.8917","28.2998","36.337","444.5991","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"170","9999","99","4","281.853","42.2462","12.6978","36.8917","28.2998","36.337","438.3255","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"170","9999","99","4","281.853","48.5314","12.6978","36.8917","28.2998","36.337","444.6107","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"171","9999","99","1-0","282.5784","52.7499","58.3022","236.7016","25.7099","36.337","692.379","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"171","9999","99","1-0","282.5784","48.5198","57.6628","236.7016","25.7099","36.337","687.5095","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"171","9999","99","1-0","282.5784","42.2462","56.7144","236.7016","25.7099","36.337","680.2875","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"171","9999","99","1-0","282.5784","48.5314","57.6645","236.7016","25.7099","36.337","687.5228","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"171","9999","99","1-100","282.5784","52.7499","58.3022","285.1431","25.7099","36.337","740.8205","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"171","9999","99","1-100","282.5784","48.5198","57.6628","285.1431","25.7099","36.337","735.951","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"171","9999","99","1-100","282.5784","42.2462","56.7144","285.1431","25.7099","36.337","728.729","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"171","9999","99","1-100","282.5784","48.5314","57.6645","285.1431","25.7099","36.337","735.9643","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"171","9999","99","1-50","282.5784","52.7499","58.3022","260.9224","25.7099","36.337","716.5998","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"171","9999","99","1-50","282.5784","48.5198","57.6628","260.9224","25.7099","36.337","711.7303","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"171","9999","99","1-50","282.5784","42.2462","56.7144","260.9224","25.7099","36.337","704.5083","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"171","9999","99","1-50","282.5784","48.5314","57.6645","260.9224","25.7099","36.337","711.7436","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"171","9999","99","2","282.5784","52.7499","21.27","192.0809","25.7099","36.337","610.7261","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"171","9999","99","2","282.5784","48.5198","21.0834","192.0809","25.7099","36.337","606.3094","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"171","9999","99","2","282.5784","42.2462","20.8067","192.0809","25.7099","36.337","599.7591","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"171","9999","99","2","282.5784","48.5314","21.084","192.0809","25.7099","36.337","606.3216","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"171","9999","99","3","282.5784","52.7499","17.3761","46.7141","25.7099","36.337","461.4654","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"171","9999","99","3","282.5784","48.5198","17.2372","46.7141","25.7099","36.337","457.0964","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"171","9999","99","3","282.5784","42.2462","17.0312","46.7141","25.7099","36.337","450.6168","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"171","9999","99","3","282.5784","48.5314","17.2376","46.7141","25.7099","36.337","457.1084","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"171","9999","99","4","282.5784","52.7499","6.0444","36.8917","25.7099","36.337","440.3113","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"171","9999","99","4","282.5784","48.5198","6.0444","36.8917","25.7099","36.337","436.0812","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"171","9999","99","4","282.5784","42.2462","6.0444","36.8917","25.7099","36.337","429.8076","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"171","9999","99","4","282.5784","48.5314","6.0444","36.8917","25.7099","36.337","436.0928","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
"172","9999","99","1-0","280.0157","52.7499","68.5917","177.3369","28.7273","36.337","643.7585","2322","VATIA S.A. E.S.P.","2023","5","1","1900-01-01T00:00:00.000"
"172","9999","99","1-0","280.0157","48.5198","67.8956","177.3369","28.7273","36.337","638.8323","2322","VATIA S.A. E.S.P.","2023","5","2","1900-01-01T00:00:00.000"
"172","9999","99","1-0","280.0157","42.2462","66.8631","177.3369","28.7273","36.337","631.5262","2322","VATIA S.A. E.S.P.","2023","5","3","1900-01-01T00:00:00.000"
"172","9999","99","1-0","280.0157","48.5314","67.8975","177.3369","28.7273","36.337","638.8458","2322","VATIA S.A. E.S.P.","2023","5","4","1900-01-01T00:00:00.000"
