"fecha_inicio","fecha_final","departamento","municipio","tipo_tecnologia","gm","dm","cm","id_empresa","empresa","ano_repor","cod_periodo"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","5","837","1","1420.16","33.62","65.18","22941","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE UNGUIA SA ESP","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","5","837","1","1421.76","33.7","66.34","22941","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE UNGUIA SA ESP","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","5","837","1","1417.25","34.09","64.5","22941","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE UNGUIA SA ESP","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","5","837","1","1393.76","29.96","68.15","22941","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE UNGUIA SA ESP","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","5","837","1","1417.48","29.64","68.68","22941","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE UNGUIA SA ESP","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","5","837","1","1412.38","29.35","68.98","22941","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE UNGUIA SA ESP","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","5","873","1","1472.65","176.04","118.23","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","5","873","1","1474.94","179.35","120.33","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","5","873","1","1479.01","181.63","122.33","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","5","873","1","1486.9","181.4","123.61","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","5","873","1","1480.69","179.46","124.58","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","5","873","1","1489.36","177.66","125.12","1930","EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VIGIA DEL FUERTE","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","13","1","1","1402.04","146.29","74.26","20432","ELECTRIFICADORA DEL PACIFICO S.A. E.S.P.","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","13","1","1","897.77","29.08","52.6","48907","SOLING DEL SINU S.A.S. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","13","1","1","880.69","29.63","101.14","48907","SOLING DEL SINU S.A.S. E.S.P.","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","13","1","1","1393.46","146.67","75.56","20432","ELECTRIFICADORA DEL PACIFICO S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","13","1","1","1373.46","146.67","75.56","20432","ELECTRIFICADORA DEL PACIFICO S.A. E.S.P.","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","13","1","1","878.04","29.97","104.64","48907","SOLING DEL SINU S.A.S. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","13","1","1","1192.32","130.4","82.21","20432","ELECTRIFICADORA DEL PACIFICO S.A. E.S.P.","2023","4"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","18","150","1","1245.7484","94.402","122.1378","22791","GENDECAR S.A. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","18","150","1","1222.9704","87.1644","124.3086","22791","GENDECAR S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","18","150","1","1233.7006","93.9836","126.3728","22791","GENDECAR S.A. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","18","150","1","1329.1576","106.0831","127.7006","22791","GENDECAR S.A. E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","18","150","1","1329.8387","104.9889","128.6988","22791","GENDECAR S.A. E.S.P.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","18","150","1","1362.9742","117.5594","129.2609","22791","GENDECAR S.A. E.S.P.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","18","753","1","1499.0823","179.7358","137.4374","22791","GENDECAR S.A. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","18","753","1","1491.5999","183.1088","139.8801","22791","GENDECAR S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","18","753","1","1490.5221","185.2347","142.2029","22791","GENDECAR S.A. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","18","753","1","1518.8457","185.2041","143.6967","22791","GENDECAR S.A. E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","18","753","1","1519.8167","183.2211","144.8199","22791","GENDECAR S.A. E.S.P.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","18","753","1","1514.6202","181.6267","145.4524","22791","GENDECAR S.A. E.S.P.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","18","756","1","1808.733","179.7358","176.4587","22791","GENDECAR S.A. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","18","756","1","1812.8382","183.1088","179.595","22791","GENDECAR S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","18","756","1","1820.9872","185.2347","182.5773","22791","GENDECAR S.A. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","18","756","1","1853.4423","185.2041","184.4949","22791","GENDECAR S.A. E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","18","756","1","1847.1019","183.2211","185.9371","22791","GENDECAR S.A. E.S.P.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","18","756","1","1841.5959","181.6267","186.7491","22791","GENDECAR S.A. E.S.P.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","318","1","1705.17","210.35","143.52","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","318","1","1685.43","211.48","146.64","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","318","1","1697.94","213.86","148.49","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","3"
