"serie_generador","dane_nom_poblad","energia_generada","identificador_empresa","ano","periodo","marca","fecha","dane_nom_dpto","nombre_localidad","dane_nom_mpio","horometro","codigo_localidad","capacidad_generacion","tipo_medida","nombre","tiempo_servicio"
"0","ISLA FUERTE","659","48907","2022","2","CATERPILLAR","2022-02-01T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","6","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","6.00"
"0","ISLA FUERTE","701","48907","2022","2","CATERPILLAR","2022-02-02T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","13","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","6.50"
"0","ISLA FUERTE","544","48907","2022","2","CATERPILLAR","2022-02-03T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","17","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","4.75"
"0","ISLA FUERTE","442","48907","2022","2","CATERPILLAR","2022-02-04T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","21","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","4.00"
"0","ISLA FUERTE","468","48907","2022","2","CATERPILLAR","2022-02-05T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","26","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","4.50"
"0","ISLA FUERTE","599","48907","2022","2","CATERPILLAR","2022-02-06T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","31","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","5.00"
"0","ISLA FUERTE","324","48907","2022","2","CATERPILLAR","2022-02-07T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","34","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","3.50"
"0","ISLA FUERTE","454","48907","2022","2","CATERPILLAR","2022-02-08T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","38","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","3.75"
"0","ISLA FUERTE","300","48907","2022","2","CATERPILLAR","2022-02-09T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","41","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","2.50"
"0","ISLA FUERTE","548","48907","2022","2","CATERPILLAR","2022-02-10T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","45","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","4.50"
"0","ISLA FUERTE","644","48907","2022","2","CATERPILLAR","2022-02-11T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","51","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","5.50"
